RIL,420 SET,411 SET,Core-Pop165,Core-Pop18,FLOLD,FLOSD,DM10,DM3,NP10,NP3,AA10,AA3,HU10,HU3,NO10,PO3,CL10,CL3,PRL,LRN,LRD,LRL,SO10,SO3
282,X,X,,,33,66,20.8,7.0,6.22,1.78,155.9,40.4,91.6,84.4,1665.2,19.4,39.0,273.8,80.1,23.3,0.291,210.7,189.8,128.4
283,X,X,,,31,47.5,18.7,7.4,6.98,2.26,162.3,46.2,92.6,87.2,1777.5,14.0,34.2,363.0,83.4,18.0,0.215,149.6,136.7,82.5
284,X,X,,,48,73.5,23.0,5.4,6.63,2.00,133.9,37.8,91.9,86.2,1739.1,13.0,38.5,407.0,60.7,9.8,0.16,50.0,82.9,46.4
285,X,X,,,29,59.5,21.0,8.5,7.05,2.38,149.1,48.2,92.6,87.4,1969.0,15.4,34.0,445.2,73.3,23.6,0.321,216.8,124.0,29.2
286,X,X,X,,29,61.5,20.9,7.6,6.91,1.78,149.0,43.4,92.1,83.4,1817.6,13.4,34.6,269.4,77.7,18.3,0.236,189.0,114.1,77.8
288,X,X,,,29,52,14.9,5.2,7.04,2.12,137.8,40.7,93.3,88.2,2118.0,17.5,34.2,455.0,84.2,16.2,0.194,148.3,172.5,121.6
289,X,X,X,,27,53,14.4,6.4,6.94,2.16,155.9,43.2,92.5,86.2,1861.2,16.2,32.0,393.2,73.3,18.8,0.252,161.6,230.6,148.4
290,X,X,,,33,60,18.1,7.5,7.42,2.13,158.0,43.2,92.9,86.7,2155.1,16.5,37.2,372.9,61.2,14.5,0.237,95.0,146.9,67.2
291,X,X,,,34,71.5,17.6,6.4,6.47,1.93,149.8,40.4,90.4,84.2,1701.6,10.0,36.5,371.0,71.0,17.0,0.239,154.4,71.6,26.8
292,X,X,,,29,63.5,15.2,6.2,6.88,2.18,143.4,45.0,92.6,87.1,2128.4,12.6,44.7,448.0,70.2,21.2,0.302,255.3,198.8,102.5
293,X,X,,,30,62,16.2,7.4,6.91,2.18,144.9,47.4,92.4,86.6,1939.1,8.6,36.6,425.6,92.8,24.0,0.259,237.2,135.6,32.4
294,X,X,,,32,64.5,15.0,5.1,6.81,2.11,135.3,38.1,92.6,86.5,2047.4,8.5,40.3,374.8,85.2,18.4,0.216,230.4,155.5,109.6
296,X,X,,,51,76.5,16.6,5.8,6.92,2.07,143.9,40.8,92.1,86.6,1907.3,9.8,37.5,429.9,91.0,23.0,0.253,230.1,125.5,54.8
297,X,X,,,48,63,14.2,5.5,6.97,2.34,154.2,44.4,92.4,87.0,2059.1,14.2,38.4,436.0,83.1,17.7,0.209,184.4,148.7,123.3
298,X,X,X,X,30,63.5,15.3,5.4,6.86,2.30,159.7,50.6,92.5,86.6,1989.5,17.6,38.9,395.5,84.9,19.2,0.224,169.3,121.9,30.3
299,X,X,,,44,64.5,18.1,7.8,6.51,1.82,156.9,42.3,91.3,85.2,1648.6,11.8,34.4,340.6,79.0,21.2,0.267,202.2,99.3,25.6
300,X,X,X,,27,60,15.6,4.4,7.40,2.19,159.5,44.2,93.2,86.9,2180.1,11.6,38.4,411.3,82.1,19.4,0.235,214.5,85.3,38.4
301,X,X,,,27,64,16.2,6.6,7.37,2.24,162.2,46.2,92.3,86.8,2181.0,14.9,40.9,471.8,NA,NA,NA,NA,74.5,33.8
302,X,X,X,,27,57.5,16.8,7.0,6.75,2.01,134.0,39.3,92.5,85.9,1825.5,13.9,32.2,320.9,NA,NA,NA,NA,220.2,126.0
303,X,X,,,34,63.5,21.1,6.1,6.26,1.84,145.8,36.9,91.5,85.8,1539.8,12.8,44.5,392.4,NA,NA,NA,NA,104.7,49.8
304,X,X,,,27,61.5,21.8,5.8,6.85,2.58,168.0,75.3,91.8,85.8,1792.0,12.2,40.4,431.6,NA,NA,NA,NA,114.9,77.4
305,X,X,X,,26,62,19.1,8.4,6.84,2.05,151.4,40.8,92.6,85.8,1883.6,12.0,43.0,436.6,NA,NA,NA,NA,126.4,40.8
306,X,X,X,,27,60,15.8,5.7,6.83,1.97,141.4,39.2,92.4,86.6,1812.9,14.1,30.0,404.2,NA,NA,NA,NA,234.7,128.0
307,X,X,,,39,74.5,19.2,9.2,6.25,2.02,140.0,38.8,92.0,87.1,1644.6,15.4,41.1,498.5,NA,NA,NA,NA,135.2,55.5
308,X,X,X,,58,79.5,18.0,7.1,6.34,2.08,151.2,46.5,91.6,85.7,1527.8,17.2,32.4,405.0,NA,NA,NA,NA,107.4,75.1
309,X,X,X,,27,48.5,14.7,4.4,6.74,2.44,148.9,57.4,92.7,87.3,1813.7,17.4,34.3,369.4,NA,NA,NA,NA,174.3,152.5
310,X,X,,,74,86,23.3,5.4,5.93,2.52,182.7,71.9,90.6,83.6,1326.3,11.7,38.5,467.8,NA,NA,NA,NA,128.7,99.8
311,X,X,,,27,55,13.1,5.2,6.66,2.84,144.7,73.9,92.3,85.7,1652.5,28.8,36.3,421.8,NA,NA,NA,NA,196.3,174.2
312,X,X,,,43,69,18.4,3.6,6.95,2.90,151.1,91.2,92.0,85.1,1952.5,11.6,39.1,587.0,NA,NA,NA,NA,142.3,182.8
313,X,X,,,30,62.5,17.8,7.4,7.05,2.37,153.0,46.1,92.5,87.4,1958.2,15.6,40.2,492.6,NA,NA,NA,NA,105.7,21.4
314,X,X,X,,29,66.5,13.0,4.8,7.05,2.72,137.0,70.8,93.0,88.0,2111.7,10.9,41.4,468.0,NA,NA,NA,NA,195.9,143.6
315,X,X,,,31,62.5,18.4,6.2,6.40,1.78,139.8,37.0,91.9,85.2,1510.4,13.0,38.3,297.2,NA,NA,NA,NA,216.5,122.4
316,X,X,,,35,63.5,19.7,6.6,7.01,1.96,143.6,46.6,92.5,85.7,2001.1,17.5,41.5,345.7,NA,NA,NA,NA,117.1,87.6
317,X,,,,63,74,16.6,6.2,6.93,1.78,135.1,42.2,92.7,85.7,2046.1,7.8,35.1,366.2,NA,NA,NA,NA,163.1,100.4
318,X,X,,,30,59.5,18.1,7.8,6.73,1.94,130.5,43.8,92.0,85.0,1803.0,10.6,37.4,332.4,NA,NA,NA,NA,120.2,23.3
319,X,X,X,,61,85.5,14.9,5.7,6.62,1.95,151.1,40.8,91.6,85.1,1848.1,11.1,39.0,406.2,NA,NA,NA,NA,122.2,54.4
320,X,X,X,,32,65.5,17.6,5.2,6.59,1.95,141.9,36.6,92.0,86.1,1832.9,19.2,35.6,356.3,NA,NA,NA,NA,212.6,148.9
321,X,X,,,55,71,19.8,8.2,6.67,2.36,143.1,51.6,92.6,87.1,1746.7,11.0,39.7,380.6,NA,NA,NA,NA,175.5,134.8
322,X,,,,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,X,X,,,29,61,22.7,5.2,6.42,1.67,154.8,30.4,91.8,84.6,1527.4,14.3,47.5,377.8,NA,NA,NA,NA,154.7,98.3
324,X,X,,,55,86,20.0,8.4,7.05,2.30,155.3,41.8,92.2,86.2,1803.5,8.0,32.9,371.6,NA,NA,NA,NA,116.9,112.5
325,X,X,X,,32,60,15.9,6.4,6.93,2.21,163.2,52.4,92.2,87.3,1998.8,10.4,36.0,496.6,NA,NA,NA,NA,97.7,26.0
326,X,X,X,,26,63.5,13.6,3.2,7.04,3.14,145.1,71.9,92.9,87.1,2214.0,14.8,40.2,523.3,NA,NA,NA,NA,179.1,153.8
327,X,X,,,34,61.5,19.5,6.7,7.09,1.75,138.9,39.6,93.3,84.6,1955.6,21.2,41.6,367.6,NA,NA,NA,NA,119.0,79.8
328,X,X,X,,41,74.5,18.5,7.8,6.60,2.12,156.7,48.7,92.1,86.6,1882.9,7.3,44.0,449.2,NA,NA,NA,NA,113.0,23.8
329,X,X,X,X,25,45,19.7,5.9,7.00,2.44,162.3,46.0,92.8,87.2,1891.4,16.4,32.4,342.2,NA,NA,NA,NA,144.2,33.2
330,X,X,X,,27,57.5,20.5,7.7,6.76,2.30,160.6,48.9,92.0,87.4,1719.1,16.2,38.6,380.6,NA,NA,NA,NA,67.0,44.3
331,X,X,,,26,63.5,21.8,4.2,6.56,3.12,148.5,113.7,91.6,83.4,1824.5,11.1,30.7,505.8,NA,NA,NA,NA,143.9,125.2
332,X,X,,,30,66,19.8,6.8,6.31,2.12,124.0,50.4,91.9,84.8,1566.0,11.8,32.6,293.0,NA,NA,NA,NA,143.3,119.8
333,X,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,X,X,X,,27,62.5,19.6,5.4,6.75,2.92,153.0,75.6,92.4,86.5,1978.8,17.4,39.3,449.2,NA,NA,NA,NA,95.4,47.3
335,X,X,X,,27,67,17.6,5.4,7.14,2.38,176.0,66.2,91.9,86.1,1966.7,23.8,37.4,496.6,NA,NA,NA,NA,114.4,83.4
336,X,X,X,,28,62,17.5,5.8,7.33,2.05,151.6,42.8,93.2,87.1,2239.2,20.6,35.1,398.3,NA,NA,NA,NA,166.4,140.1
337,X,X,,,32,54,18.9,6.8,6.80,2.10,156.7,42.8,92.3,86.3,1865.5,7.8,30.2,306.6,NA,NA,NA,NA,145.1,93.3
338,X,X,,,33,63.5,20.0,6.8,6.69,1.78,153.6,37.0,92.5,84.8,1903.8,15.8,37.0,318.4,NA,NA,NA,NA,161.3,100.2
339,X,X,,,29,61,20.4,8.8,6.60,1.98,153.1,37.9,91.8,85.4,1677.2,13.0,37.4,376.7,NA,NA,NA,NA,110.6,27.2
340,X,X,,,28,58,17.3,7.1,6.83,2.06,145.6,44.2,92.3,85.2,1748.1,15.8,38.0,348.8,NA,NA,NA,NA,184.3,101.2
341,X,X,,,30,62,22.7,8.6,7.04,2.03,172.1,44.9,92.4,86.2,1797.9,11.6,37.3,344.8,NA,NA,NA,NA,101.2,26.0
342,X,X,X,,31,58.5,19.7,6.8,6.57,1.90,143.4,37.5,92.0,85.6,1582.0,15.8,40.4,353.5,NA,NA,NA,NA,112.5,33.4
343,X,X,X,X,34,56.5,18.5,7.2,6.95,2.10,145.5,41.6,92.9,86.8,2042.6,7.7,38.4,364.6,NA,NA,NA,NA,136.7,70.9
344,X,X,,,28,58.5,19.3,6.8,6.96,1.91,136.9,35.4,92.2,85.4,1961.9,16.8,39.2,385.1,NA,NA,NA,NA,107.2,31.2
345,X,X,X,,27,55.5,20.1,8.4,6.41,2.15,138.0,43.0,92.0,86.4,1742.4,7.9,38.0,359.8,NA,NA,NA,NA,128.4,53.9
346,X,X,,,27,58,20.6,6.4,7.23,1.95,151.2,39.6,92.9,85.4,1891.4,15.8,37.1,340.8,NA,NA,NA,NA,110.3,36.1
347,X,,,,26,63.5,22.8,4.8,6.67,2.82,141.3,77.3,92.3,87.0,1705.3,9.3,44.2,477.2,NA,NA,NA,NA,165.0,93.8
348,X,X,,,28,62,15.8,7.4,6.75,1.95,139.4,38.6,92.9,86.4,1789.6,13.3,31.2,329.3,NA,NA,NA,NA,148.1,75.2
349,X,X,X,X,27,64,18.0,6.4,6.78,2.05,132.6,42.4,92.4,86.4,1738.8,16.5,38.4,393.4,NA,NA,NA,NA,166.8,121.5
350,X,X,,,28,61,18.8,5.2,6.51,1.78,129.7,36.4,92.3,85.4,1675.7,21.6,39.0,327.0,NA,NA,NA,NA,169.5,93.8
351,X,X,X,,38,71.5,14.7,4.1,6.81,2.38,124.6,57.5,92.5,87.4,1873.2,17.2,37.5,480.1,NA,NA,NA,NA,192.7,162.8
352,X,X,,,61,75.5,21.6,7.0,7.02,1.85,157.4,39.2,92.4,85.6,2013.5,4.6,38.1,457.0,NA,NA,NA,NA,89.2,46.0
353,X,X,,,62,88,15.1,5.1,7.03,1.74,145.8,32.9,92.5,83.4,2051.0,8.2,36.8,367.4,NA,NA,NA,NA,117.0,60.4
354,X,X,,,32,72.5,21.0,9.1,6.21,2.01,152.2,42.0,91.1,85.6,1452.8,8.0,40.2,395.5,NA,NA,NA,NA,97.4,48.1
355,X,X,,,27,50,15.3,5.2,6.80,2.06,123.1,41.0,93.1,87.3,1860.3,13.0,29.0,306.2,NA,NA,NA,NA,176.5,105.9
356,X,X,,,25,57,16.9,7.1,6.93,2.28,148.9,42.6,92.2,86.1,1701.6,17.2,41.2,429.4,NA,NA,NA,NA,71.3,30.5
357,X,X,X,,34,77,21.2,7.7,7.46,1.98,159.2,42.9,92.4,85.8,1891.4,16.4,38.0,314.6,NA,NA,NA,NA,52.2,28.0
358,X,X,X,,55,68.5,17.9,6.4,6.95,1.76,140.4,37.6,92.5,84.1,1927.1,19.8,32.8,320.2,NA,NA,NA,NA,179.8,139.9
359,X,X,X,,27,57,18.0,5.8,6.57,2.48,121.9,53.1,92.4,87.6,1841.6,19.0,44.9,433.5,NA,NA,NA,NA,126.0,55.8
360,X,X,,,28,65,17.3,4.6,7.16,2.28,168.0,46.0,91.9,86.5,1966.9,8.2,36.2,491.9,NA,NA,NA,NA,105.6,60.0
361,X,X,,,38,88,20.3,7.1,6.89,2.46,167.5,66.0,91.9,86.8,2011.4,5.8,36.7,414.6,NA,NA,NA,NA,78.5,36.4
362,X,X,X,,30,64,24.0,6.2,6.48,1.96,181.6,41.0,91.2,84.2,1739.9,14.6,39.2,280.4,NA,NA,NA,NA,51.0,37.1
363,X,X,X,,52,64.5,24.6,10.4,6.86,1.74,149.3,38.4,93.0,85.8,2022.3,14.8,37.6,292.0,NA,NA,NA,NA,85.5,54.3
364,X,X,X,,27,57,19.0,6.5,7.12,2.15,140.4,41.6,92.8,86.2,2123.1,20.4,40.9,439.0,NA,NA,NA,NA,104.9,31.8
365,X,X,X,,26,60,14.6,6.8,6.73,2.11,155.7,44.0,91.9,84.8,1773.7,18.4,37.6,388.8,NA,NA,NA,NA,111.9,38.0
366,X,X,,,24,53,12.2,5.4,7.32,2.23,126.8,40.9,92.9,86.6,2154.7,19.0,35.7,425.5,NA,NA,NA,NA,149.1,105.4
367,X,X,,,55,80,22.9,8.4,6.81,1.94,151.7,41.0,92.1,85.4,1834.0,11.8,34.7,352.2,NA,NA,NA,NA,85.2,23.2
368,X,X,X,,33,63,18.2,8.1,6.67,2.02,131.5,38.6,91.8,85.2,1746.6,16.0,34.4,317.6,NA,NA,NA,NA,137.1,81.3
369,X,X,,,52,75,21.7,6.8,6.59,2.33,162.7,45.8,91.6,86.4,1940.3,5.1,41.2,452.7,NA,NA,NA,NA,88.3,55.6
370,X,X,,,31,68,20.7,8.6,7.28,2.13,147.6,46.0,92.7,85.4,2455.0,13.0,42.2,384.8,NA,NA,NA,NA,86.3,35.2
371,X,X,,,27,61,19.1,6.0,6.97,2.47,135.0,57.9,93.0,86.8,1926.6,12.3,44.0,346.6,NA,NA,NA,NA,118.8,54.3
372,X,X,,,33,60,15.0,5.8,7.40,1.84,138.3,38.5,92.8,85.4,2342.5,21.1,31.2,360.8,NA,NA,NA,NA,83.9,24.0
373,X,X,,,26,53,18.3,4.8,7.31,2.20,136.3,41.7,93.0,87.8,2298.9,11.4,41.3,454.4,NA,NA,NA,NA,106.5,46.3
374,X,X,,,29,59.5,13.8,7.2,6.82,2.20,132.1,50.3,92.7,87.2,2024.0,19.4,32.9,371.2,NA,NA,NA,NA,206.2,141.1
375,X,X,,,39,60.5,18.9,5.8,6.41,2.29,134.1,51.6,92.1,86.2,1857.3,11.5,42.7,404.2,NA,NA,NA,NA,106.3,33.2
376,X,X,X,,27,61,21.2,7.0,7.18,2.34,175.9,57.4,92.0,84.4,2085.1,17.8,39.8,372.4,NA,NA,NA,NA,103.9,53.0
377,X,X,,,26,64,12.0,5.0,7.12,3.13,172.0,81.0,92.4,88.3,2211.1,19.4,37.0,518.0,NA,NA,NA,NA,121.7,65.2
378,X,X,X,,28,65,19.7,7.1,7.20,1.92,144.7,39.7,92.6,86.3,2348.0,11.6,41.9,450.0,NA,NA,NA,NA,85.6,62.8
379,X,X,X,,33,68.5,19.9,7.1,6.95,2.07,138.6,45.6,92.4,86.1,2349.7,13.4,42.8,513.8,NA,NA,NA,NA,149.2,68.4
380,X,X,X,,32,62,18.1,6.5,6.97,2.00,127.7,43.5,92.6,86.4,2248.1,10.0,46.1,494.2,NA,NA,NA,NA,152.0,56.8
381,X,X,X,,29,67,15.2,5.5,6.97,2.04,124.0,43.0,92.6,85.9,2160.5,17.7,40.1,373.7,NA,NA,NA,NA,123.2,88.9
382,X,X,X,,53,74.5,16.2,6.2,6.90,1.97,183.6,43.2,91.8,83.8,1911.2,11.2,32.9,341.9,NA,NA,NA,NA,113.2,25.6
383,X,X,,,33,59.5,17.2,6.2,6.84,1.86,143.4,39.5,92.5,86.3,2238.3,18.2,39.7,383.7,NA,NA,NA,NA,181.7,99.8
384,X,X,,,26,61,21.3,6.2,6.72,1.90,146.1,35.2,92.3,85.0,2012.3,10.5,40.4,361.2,NA,NA,NA,NA,126.2,43.4
386,X,X,,,27,68.5,7.3,2.2,7.64,1.60,125.6,NA,93.5,86.2,2225.2,NA,47.0,NA,NA,NA,NA,NA,128.2,NA
387,X,X,X,,36,62.5,15.2,5.6,6.84,1.96,127.5,38.0,92.6,86.2,1877.1,16.0,38.1,376.4,NA,NA,NA,NA,177.1,105.4
388,X,X,X,,26,62,13.3,5.1,6.85,2.36,153.0,59.2,92.5,87.8,1843.5,23.2,39.9,486.2,NA,NA,NA,NA,173.0,57.9
389,X,X,,,29,63,16.0,7.0,7.03,1.98,130.5,36.7,93.0,86.6,2185.2,21.4,36.1,307.2,NA,NA,NA,NA,203.2,106.8
390,X,X,X,X,44,80.5,16.7,6.1,6.76,2.01,140.4,40.8,91.6,85.6,1920.2,6.8,34.1,385.9,NA,NA,NA,NA,206.5,159.6
391,X,X,,,65,81.5,19.4,6.8,6.24,1.94,143.7,40.8,92.0,85.5,2055.0,8.6,46.5,422.2,NA,NA,NA,NA,131.2,34.6
392,X,X,,,27,60,17.6,6.8,7.28,1.88,139.8,31.0,92.9,85.4,2386.7,14.4,44.5,349.4,NA,NA,NA,NA,139.0,90.6
393,X,X,,,29,60,18.2,6.8,7.13,2.17,135.9,40.4,92.5,86.1,2298.1,11.6,37.4,334.5,NA,NA,NA,NA,180.1,53.0
394,X,X,X,,47,63,20.6,7.1,6.81,1.89,171.9,40.4,92.1,86.1,2043.6,10.0,36.8,412.7,NA,NA,NA,NA,70.2,28.5
395,X,X,,,29,71.5,21.9,7.7,6.54,1.72,156.6,34.0,91.8,84.2,1764.3,13.0,39.4,293.0,NA,NA,NA,NA,134.8,57.6
396,X,X,,,33,72,20.1,7.7,6.94,1.92,161.6,37.2,92.5,86.1,2042.3,9.3,42.1,345.4,NA,NA,NA,NA,69.9,37.4
397,X,X,,,42,68.5,16.4,5.8,6.81,1.98,156.4,44.6,92.1,84.6,1984.9,16.6,31.1,317.1,NA,NA,NA,NA,207.6,172.4
398,X,X,X,,39,69,16.8,7.4,6.97,2.17,148.2,45.4,92.4,87.0,1921.7,11.1,37.5,408.0,NA,NA,NA,NA,162.4,99.5
399,X,X,,,66,96,19.5,6.2,6.95,1.90,156.5,39.2,92.1,85.6,2132.4,6.8,38.2,380.4,NA,NA,NA,NA,111.0,34.0
400,X,X,X,,31,62,18.4,6.0,7.27,2.37,145.1,48.4,92.8,86.6,2374.6,7.8,33.2,406.3,NA,NA,NA,NA,135.9,38.2
402,X,X,X,,27,62.5,14.0,7.0,7.57,2.10,157.1,46.4,92.7,86.5,2191.7,17.6,34.0,445.0,NA,NA,NA,NA,73.3,20.2
403,X,X,,,57,93.5,19.9,5.4,6.86,1.80,156.4,38.6,91.9,84.9,2144.8,8.4,41.4,452.4,NA,NA,NA,NA,121.0,57.4
404,X,X,,,54,83,23.7,8.4,6.69,2.01,188.0,46.8,91.4,85.8,1844.4,8.0,42.9,405.7,NA,NA,NA,NA,86.1,43.6
405,X,,,,70,90,17.6,7.0,6.44,2.12,143.6,44.0,92.3,86.4,2034.7,12.0,41.2,398.8,NA,NA,NA,NA,166.6,148.2
407,X,X,,,52,90,17.9,6.2,7.19,2.03,165.9,44.8,92.3,85.5,2216.9,10.4,41.8,475.0,NA,NA,NA,NA,91.9,29.6
408,X,X,,,28,70,17.9,5.6,7.19,2.08,178.6,42.8,92.6,86.8,2137.4,12.2,41.2,459.1,NA,NA,NA,NA,62.9,25.6
409,X,X,X,,63,94,18.0,6.4,7.28,2.15,159.6,48.6,92.6,87.6,2285.5,15.7,39.1,552.4,NA,NA,NA,NA,87.6,34.5
410,X,X,X,,30,46.5,15.4,5.8,7.53,2.26,147.5,40.7,93.3,87.3,2218.3,11.5,32.4,438.4,NA,NA,NA,NA,187.6,134.3
411,X,X,,,55,74.5,17.6,7.1,6.77,1.54,172.5,30.7,91.8,83.0,2004.1,10.5,36.8,250.6,NA,NA,NA,NA,107.6,61.0
412,X,X,X,,53,95,16.9,5.1,7.07,2.02,156.9,44.8,92.1,85.8,2175.5,9.9,37.7,371.8,NA,NA,NA,NA,109.9,111.4
413,X,X,X,,28,59,25.0,6.4,7.10,1.72,161.4,34.6,92.9,85.1,2193.6,13.8,41.6,308.9,NA,NA,NA,NA,102.2,41.2
414,X,,,,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,X,X,,,32,67,19.3,9.1,6.83,2.37,148.5,50.6,92.0,86.6,1879.1,25.2,33.5,325.2,NA,NA,NA,NA,234.8,145.9
416,X,X,,,30,61,15.5,5.8,7.10,2.46,158.4,44.3,92.7,87.4,2368.5,21.5,40.1,455.2,NA,NA,NA,NA,176.5,47.7
417,X,X,,,52,92,11.4,6.5,7.28,2.01,164.9,40.4,92.5,85.1,2286.9,24.6,34.8,329.4,NA,NA,NA,NA,112.4,59.8
418,X,X,,,34,64,22.9,8.5,7.02,2.30,147.5,45.8,92.7,87.0,2236.8,10.5,38.2,428.2,NA,NA,NA,NA,108.9,34.9
419,X,X,,,30,66,20.4,5.0,7.11,1.96,155.9,37.6,92.1,85.0,2188.6,10.2,38.9,416.2,NA,NA,NA,NA,144.2,70.6
420,X,X,,,64,83.5,21.8,6.4,6.63,1.76,158.7,35.6,91.7,84.2,1717.9,9.4,37.4,362.4,NA,NA,NA,NA,99.0,23.6
421,X,X,X,,58,80,15.2,5.4,7.25,2.13,157.1,49.1,92.7,86.5,2192.5,11.1,34.9,411.5,NA,NA,NA,NA,119.2,75.7
422,X,X,,,54,84.5,21.7,8.4,7.11,1.68,164.5,32.6,92.2,83.9,2054.0,11.4,41.0,404.1,NA,NA,NA,NA,91.5,45.7
424,X,X,X,,28,66,10.9,4.6,7.30,2.66,186.6,52.5,92.2,87.2,2011.7,17.4,39.5,389.6,NA,NA,NA,NA,108.3,36.6
425,X,X,,,38,64,18.6,7.2,7.64,2.03,158.4,42.4,93.0,87.0,2711.9,8.4,37.3,425.0,NA,NA,NA,NA,68.9,18.6
426,X,X,,,30,57,17.9,4.1,7.25,1.67,151.1,34.0,93.0,85.8,2446.9,19.8,36.5,418.0,NA,NA,NA,NA,145.5,117.4
427,X,X,,,54,77,19.4,7.8,6.93,1.90,150.3,40.2,92.6,86.8,2245.2,15.2,49.4,440.0,NA,NA,NA,NA,109.2,94.5
428,X,X,,,35,60.5,17.1,6.2,6.66,2.01,150.2,40.2,92.1,86.2,1896.6,15.4,35.9,331.5,NA,NA,NA,NA,240.8,135.0
429,X,X,,,31,52.5,18.4,6.4,6.96,2.07,191.6,44.5,92.2,86.6,2046.3,14.6,34.9,338.1,NA,NA,NA,NA,132.3,87.2
430,X,X,X,,25,54.5,15.6,5.0,7.26,2.33,137.9,42.8,92.9,87.1,2250.0,15.4,38.4,345.8,NA,NA,NA,NA,193.5,94.2
431,X,X,,,33,70,19.8,6.6,6.75,1.86,131.3,33.9,92.6,85.8,2131.8,14.2,41.0,298.9,NA,NA,NA,NA,213.5,114.8
432,X,X,,,27,60.5,20.6,8.4,7.61,2.56,155.3,52.6,92.7,87.6,2465.2,13.8,39.0,438.2,NA,NA,NA,NA,111.4,25.7
