,id,TYM,SGNC,SGNO
0,CH1,19.98446897,11.80043478,4.548234882
1,CH2,-17.37716367,-5.951695644,-7.752418636
2,CH3,-6.21719548,0.224241341,6.872567351
3,CH4,19.01403695,6.584268713,1.395403707
4,CH5,-18.34759569,-4.38376958,-4.64894846
5,CH6,-13.98065161,1.485817487,-2.925760281
6,CH7,-15.92151565,-4.271873888,-5.374267963
7,CH8,11.25058082,-4.464923258,-5.836416772
8,CH9,-1.850251405,-5.074903327,-8.216274683
9,CH10,3.487124686,2.731829091,5.095538248
10,CH11,-12.52500359,-6.490891246,-0.136581463
11,CH12,-13.98065161,-3.20792528,-0.786021087
12,CH13,-4.761547455,-2.848347811,10.04269475
13,CH14,4.457556703,8.978654476,6.33932703
14,CH16,19.49925296,1.442626484,0.014895629
15,CH17,-1.850251405,9.557074844,3.663674833
16,CH18,-15.92151565,-5.649654891,-5.994049794
17,CH19,16.1027409,1.207922912,-3.034158317
18,CH20,3.001908678,10.67994531,7.75932081
19,CH21,14.64709288,2.462637374,3.649630937
20,CH22,10.2801488,-0.151516799,2.441067649
21,CH23,1.061044645,4.490438841,0.023065715
22,CH24,-17.37716367,-4.125748713,-5.315908973
23,CH25,7.368852753,-2.481343009,-6.810290686
24,CH26,2.031476661,0.650314976,6.812736914
25,CH27,-7.672843505,-4.198389675,-5.168774701
26,CH28,-1.850251405,3.347145988,-5.161566773
27,CH29,-3.30589943,3.084680415,14.77444447
28,CH30,-2.820683422,0.071110923,-1.971055987
29,CH31,11.73579683,3.444257883,1.699165486
30,CH32,-7.672843505,5.008208323,9.377221724
31,CH33,15.61752489,4.795220077,-1.693900146
32,CH34,26.77749309,6.623907491,9.184002794
33,CH35,-15.43629964,-6.390091803,-11.6314885
34,CH36,15.61752489,0.692385388,-8.404395086
35,CH37,7.854068761,-1.555672227,-0.29180124
36,CH38,1.546260653,0.293579205,-1.170139272
37,CH39,17.55838893,11.53595741,5.168853419
38,CH40,11.25058082,2.185736744,6.965028687
39,CH41,-2.820683422,-0.870671736,-6.905335308
40,CH42,3.487124686,-3.203347111,3.93543025
41,CH43,3.487124686,-0.331305534,-0.222602962
42,CH44,-4.761547455,3.444257883,9.198676542
43,CH45,-0.39460338,-2.449451916,0.281867867
44,CH46,-13.98065161,-3.641316214,-3.679722331
45,CH47,-17.37716367,-2.106929659,-2.254368399
46,CH48,19.01403695,-3.20792528,0.156551835
47,CH49,-1.850251405,4.033266987,-4.808268791
48,CH51,-3.791115438,-0.163592648,-5.029960907
49,CH52,16.58795691,2.41148827,-8.661702125
50,CH53,-7.672843505,0.843444815,9.919688361
51,CH54,20.46968498,4.588117887,8.499080314
52,CH55,3.972340695,-3.747291482,-4.758069552
53,CH56,2.031476661,-1.348535978,-5.978720801
54,CH57,3.487124686,-10.22137343,-1.989092869
55,CH58,-4.761547455,5.075294857,14.04286286
56,CH59,8.339284769,-1.382717591,6.306811814
57,CH60,-15.92151565,-2.308981609,-1.214928683
58,CH61,8.824500778,-1.147572366,-4.531582586
59,CH62,23.86619704,6.424267533,-3.241835366
60,CH63,-2.820683422,3.189000944,-4.915920698
61,CH64,-16.40673165,-3.540516771,-8.917408832
62,CH65,5.42798872,2.472298956,-5.458035262
63,CH66,14.16187687,3.588600829,3.593561115
64,CH67,-10.58413955,-4.024192112,6.565518531
65,CH68,0.575828636,-1.786932137,-0.706786174
66,CH69,13.67666086,4.843557414,7.882463387
67,CH70,-2.820683422,-7.047686041,-2.327974994
68,CH71,-12.52500359,-7.560655259,-5.467257986
69,CH72,-3.791115438,-4.39349526,-0.889534459
70,CH73,13.19144485,3.88651219,4.221527068
71,CH74,-16.40673165,-7.260389326,1.357926908
72,CH75,-2.820683422,-6.390091803,-4.295920743
73,CH76,13.67666086,4.852595254,5.454801484
74,CH77,-16.89194766,-2.663724454,-4.286492058
75,CH78,19.98446897,-5.833297008,-0.607876325
76,CH79,15.13230889,8.463473872,10.0230385
77,CH80,-17.37716367,-6.803699962,-3.706375538
78,CH81,-16.89194766,-9.239666834,-6.898913869
79,CH82,-7.187627497,-0.823050814,1.197796892
80,CH83,13.67666086,-8.067839147,-0.29180124
81,CH84,3.972340695,3.170281967,1.776143438
82,CH85,1.546260653,0.896052068,-0.804225002
83,CH86,-17.37716367,-3.97891293,-6.616093472
84,CH87,5.42798872,1.939435212,-6.606664787
85,CH88,3.001908678,-2.297061298,-0.403608115
86,CH89,-12.52500359,-2.225328295,-3.706375538
87,CH90,-2.820683422,4.338048223,7.792692544
88,CH91,1.546260653,-0.925545738,-1.837569868
89,CH93,-1.365035397,0.367097335,-0.208187105
90,CH94,-15.92151565,-6.710089325,1.842001637
91,CH95,8.824500778,11.79721649,5.70717686
92,CH96,-1.365035397,3.624046617,-0.118590491
93,CH97,7.368852753,2.579438473,0.188452013
94,CH98,-16.40673165,-6.316264823,-9.832277764
95,CH99,-7.672843505,2.448202317,6.839027886
96,CH100,-8.158059513,3.473821768,7.089732586
97,CH101,7.368852753,0.028271935,1.904392855
98,CH102,3.487124686,-0.294096081,-8.537835526
99,CH103,1.061044645,5.3207393,4.8485427
100,CH104,-18.34759569,-2.22380356,-1.435841678
101,CH105,3.001908678,-7.761514664,0.895276245
102,CH106,-3.791115438,4.90740888,3.218562492
103,CH107,-14.46586762,1.743482437,-0.707432052
104,CH108,0.090612628,0.387849403,-2.398968473
105,CH109,-1.365035397,9.366938612,2.250482908
106,CH110,-4.761547455,-1.381599896,1.366096995
107,CH111,-0.879819389,0.445969823,1.087238826
108,CH112,-15.92151565,-6.084545026,-0.290631066
109,CH113,-0.39460338,2.185736744,0.281867867
110,CH114,16.1027409,-3.540516771,0.129632206
111,CH115,11.25058082,-1.949404141,-6.659410336
112,CH116,6.883636745,-1.535108209,-2.727940583
113,CH117,1.546260653,0.403117807,-2.106858862
114,CH118,8.824500778,4.173422316,-1.720423922
115,CH119,2.031476661,6.306890966,8.26375652
116,CH120,2.031476661,-0.234946388,0.953780948
117,CH121,-13.4954356,-1.786932137,-1.987396161
118,CH122,-16.89194766,-8.54507663,-10.3008456
119,CH123,-17.37716367,-13.33926345,-12.09193774
120,CH124,8.824500778,-0.233285395,-4.101672829
121,CH125,10.2801488,-4.99387799,-1.990432052
122,CH126,7.368852753,3.444257883,5.43016474
123,CH127,1.546260653,1.286793074,4.232159797
124,CH128,19.01403695,7.151157009,5.901228716
125,CH129,8.824500778,-1.215814147,6.048779652
126,CH130,15.61752489,8.068760786,4.016972815
127,CH131,-13.98065161,-7.702643633,-11.69030169
128,CH132,-7.187627497,1.963416939,6.628041564
129,CH133,-12.52500359,0.405048657,9.358923979
130,CH134,-8.643275522,5.249311303,8.021016604
131,CH135,-12.52500359,-4.417309089,-0.589301586
132,CH137,3.001908678,-0.608206163,2.552874524
133,CH138,-14.95108363,-1.05046047,-4.790604666
134,CH139,18.52882094,8.229990331,2.589486966
135,CH140,-2.820683422,4.979679652,5.279294901
136,CH141,13.67666086,-0.762240128,3.447331162
137,CH142,1.061044645,-7.343066165,-10.51416762
138,CH143,-8.158059513,-0.068839961,0.403052332
139,CH144,-8.158059513,-0.011202031,2.752513669
140,CH145,-16.40673165,-2.545325817,4.584683404
141,CH146,-8.643275522,2.904891681,6.971477199
142,CH147,-15.92151565,-7.396029352,-2.755424713
143,CH148,-17.37716367,-7.021170452,-6.626199964
144,CH149,10.2801488,-1.6685335,5.384653262
145,CH150,8.339284769,4.865297741,-1.214928683
146,CH151,-14.95108363,-0.26955209,-7.126391945
147,CH152,13.19144485,-2.226983634,-6.817498614
148,CH153,-17.37716367,-5.41495132,-0.811432931
149,CH154,6.398420736,5.446604482,9.816152964
150,CH155,-14.95108363,0.747426871,-1.546106151
151,CH156,3.001908678,2.816847863,-9.379557641
152,CH157,10.2801488,-5.98743313,-7.993111214
153,CH159,14.16187687,3.706723456,1.387484033
154,CH160,-0.879819389,-4.817624138,-2.210209
155,CH161,-14.95108363,-5.462501985,-1.586937803
156,CH163,15.61752489,5.519127265,-1.435841678
157,CH164,20.46968498,8.290801017,-5.191063023
158,CH165,-13.4954356,-4.500607612,-3.80317296
159,CH166,14.16187687,-5.904756292,5.937215459
160,CH168,-2.820683422,-1.68791091,-3.866140841
161,CH169,8.824500778,11.35496218,2.3421578
162,CH170,18.52882094,5.052716845,-0.930399923
163,CH171,-7.672843505,-1.05046047,5.546704224
164,CH172,-8.643275522,5.421933959,8.909013289
